"report"
"Iteration" "cd etc.."
("Iteration" "cd" "cl" "cmx" "cmy" "cmz" "cx" "cd-scale" "cl-scale" "cs-scale" "cd-scale-avg" "cl-scale-avg" "cs-scale-avg")
10 0.1103494785372897 0.03304081881973836 -0.01275874351967566 0.002038425935963388 -0.002227968185962365 -0.01002053683885908 0.1127049785768153 0.03417290306970425 -0.009817443747711173 0.2009588916255098 0.03852813614581428 -0.009991753661020467
20 0.1331566281041702 0.02766451086569918 -0.0102928222654238 0.001463623243394276 -0.0008591631336950076 -0.006585242140265318 0.1357940033731237 0.02559788467737765 -0.008741170499665947 0.1417968988357714 0.0328632155892434 -0.009901092187530283
30 0.1383486782511137 0.03110786825132012 -0.009770762691526477 -0.0004515152253712411 -0.0001762867940019974 -0.005012232912965701 0.140855361458883 0.02823773389817921 -0.006728356285983565 0.1256455546106311 0.03087324390714536 -0.009153617753190398
40 0.140307280708179 0.03602709345787041 -0.01080733425615358 -0.001714754889640227 0.0001736412880244431 -0.0014377634972365 0.1418651572715493 0.03425045917331109 -0.00237028013874517 0.1184125649559328 0.03110338856230148 -0.007962773509674229
50 0.1434099687796147 0.03951476059866602 -0.01189295030958993 -0.001359991866836823 0.0001590146513196014 -0.001081809051203856 0.144705029832653 0.03753304153139274 -0.002175005668585593 0.1147437976166345 0.03210188991664306 -0.006724703738732422
60 0.1454966252468091 0.04221010878252787 -0.01120850233870247 -0.0007876533882649521 0.000125357697516724 -0.001401990389291727 0.1470785508930523 0.039588910630599 -0.001311649893548349 0.1126217428289982 0.03323460762073996 -0.005941013263613328
70 0.1464947919458459 0.04035158521268185 -0.01045663353705442 -0.0007341908646260905 0.0002894417821547202 -0.001158702381473191 0.148174910460428 0.03757898132031631 -0.0006072714276230244 0.1113835798950778 0.03401606627850839 -0.005181960808519999
80 0.1471652558086549 0.03892949969732815 -0.009872269143375108 -0.00117383480694731 0.0005820484117478703 3.53442398580552e-05 0.1490343891768631 0.03591690180335377 0.000126979390844363 0.1105518385909061 0.03433366547504797 -0.004609187065205153
90 0.1477191153068386 0.0381742619446474 -0.009018531250981449 -0.0008949315484625769 0.0004205248563979932 0.002008511026967173 0.1495223382804416 0.03506458664822618 0.001753897542847161 0.1101009922746365 0.0344464102697383 -0.003952201577650127
100 0.1488583912748467 0.03856191987955738 -0.00865329359187886 -0.0001024549534876994 -0.0001405112443381932 0.001554254227784861 0.1505720214475104 0.03529677426104336 0.001456902628473602 0.1098088942771022 0.03451253070463918 -0.003399853147468671
110 0.150229986341065 0.03977932446482187 -0.00859954447296188 0.0006695334189521695 -0.0006293350343120746 0.002059008583084241 0.1520085043395414 0.03614618796066826 0.001876334525472008 0.1005368531856987 0.03423817547869884 -0.002233226421959749
120 0.1509011551409473 0.04084956595945655 -0.008541682993232111 0.001281384512929243 -0.0009420331286486048 0.003053280938211134 0.1528854920712885 0.03691567610949792 0.002092521079275198 0.1031971787091065 0.0351729594073836 -0.001053968122774782
130 0.1517885221160082 0.04182037421941911 -0.00857190709600612 0.001527014957666947 -0.0009279601189549629 0.004490329438704552 0.1538286779324761 0.03788349323986615 0.002948579899918446 0.1048879589712649 0.0362257825286809 -3.774176358984029e-05
140 0.1520268508018466 0.04243508726008812 -0.008603292341312943 0.00157002128910691 -0.00086424476579755 0.005351128182967776 0.1539916779362455 0.03869014888225113 0.004064425455233852 0.1063606915282647 0.03688724552418177 0.0007592627090371165
150 0.151101424218873 0.04238175039141547 -0.008199608739504488 0.001457896750266144 -0.0007512388188740305 0.005904463428091239 0.1530752804510903 0.03846722113574338 0.004958584648776156 0.1075330451087664 0.03713806315038558 0.001393390622201793
160 0.1510656014438991 0.04306359936895626 -0.008083574793429317 0.001148536630246811 -0.0005530903625257092 0.006082458478150814 0.1531726359517729 0.03884670678707652 0.005390447792133174 0.1085198618639372 0.03710566567136682 0.002120320403472369
170 0.1514723210576802 0.04386631960314476 -0.008189933503589524 0.0008305641897466917 -0.0003778272555970143 0.005617630166099891 0.1537103303667676 0.03927580828934934 0.005309442010825576 0.1093608045115166 0.03715206327170614 0.002722826067770703
180 0.1516885414491616 0.04375161217828211 -0.008292825287809323 0.0004649780633771102 -0.0002246341360722464 0.003877335387330517 0.1539986935287301 0.03887769946889891 0.004176308372423258 0.1101087232969782 0.03740405620900426 0.003261820602136864
190 0.1517782547313137 0.04355596214337266 -0.00845506845319084 0.0003071721856937341 -0.0001958835109739551 0.001751985537603411 0.1540872965033913 0.03870419618439969 0.002776210149498956 0.1105884066913172 0.03774035643965856 0.003467977081737947
200 0.1524762509687496 0.04363744604772156 -0.008579766908188832 7.030039090009546e-05 -0.0001457625041792875 0.000139120905932017 0.15473614305393 0.03902835817891817 0.001677991801282635 0.1109426495491059 0.03812104233637 0.003525934874264964
210 0.1525788217466853 0.043453145295683 -0.008078609718802088 -0.0002810992314391798 -4.096835540576373e-05 -0.0004486300864157235 0.1547723149186696 0.03908439809392582 0.001271509676801974 0.1111626906529612 0.03844710595068684 0.003495751129125441
220 0.1523880087711178 0.04421761560427229 -0.007696631874259362 -0.000376644254956352 -6.36832204575151e-05 0.0001110074206560719 0.1545172399846248 0.03991596815159319 0.001602341640025306 0.1112736751161552 0.0387354324730951 0.003438705802096903
230 0.152552632993883 0.04558458997201655 -0.007655882321306083 -0.000360086075824857 -0.0001574246345651522 0.0006779106454122543 0.1546465793731317 0.04125045477613704 0.001703838765291212 0.1112979648042376 0.03906351936164305 0.003363729263346241
240 0.153267810109813 0.04576553003179491 -0.007651459485421054 -0.000395231248541062 -0.000226548046811425 0.0007922089631159487 0.1553364535324043 0.04143451776711642 0.001347419143934952 0.1112204453524389 0.03936990355105775 0.003152751356400312
250 0.1537698896820578 0.04567839776980898 -0.007749061399337179 -0.0003130666134661047 -0.0003396511528749944 0.001290086513964635 0.1558558978809873 0.04129329598158934 0.001545165625427582 0.1111465613051143 0.03963878726550633 0.002837674579644635
260 0.1538886037830757 0.04644947916728302 -0.007876337580010009 -0.000399866093331275 -0.0002952316200727325 0.001779447327373958 0.1559972255717876 0.04195013095196095 0.001780010386044253 0.1111103541664453 0.03994259620166706 0.00248371831585703
270 0.1537913964590631 0.0469328737171144 -0.007890599866024224 -0.0004830084747383887 -0.0002017213945137755 0.001949645302479435 0.1558484131124749 0.04248861362991527 0.001567538416127652 0.1110151648229563 0.04025717404908989 0.002114139780568268
280 0.1542809074679245 0.0469203435409845 -0.008102746487848757 -0.0005047352895178566 -0.0001140743754931522 0.001732731831960095 0.1562614648368151 0.04268831287251458 0.001001377668743628 0.1109237026156177 0.04060532779504269 0.001762110350083031
290 0.1540193502278648 0.04721130860408752 -0.008054249908821557 -0.0005616547776260864 1.45680808504722e-05 0.001112205977015355 0.1559575952586238 0.04312217127521381 0.0003920225448150654 0.1108790422606052 0.04102859290099372 0.001491260357768245
300 0.1539539862597456 0.04676928578450033 -0.007642888719621755 -0.0008806275669429309 0.0003027950775325304 0.0006348513089296483 0.1558648154495069 0.04272579334779994 9.9036740482418e-05 0.1108406271259261 0.04143635045581575 0.001293677182138252
310 0.1544127520347383 0.04643308635712392 -0.007391628723057606 -0.001346591691202613 0.0007277920683905269 0.0006242554287184493 0.1562757210583536 0.04247561866318175 0.0002555039088539197 0.1108434314778784 0.04178028126653819 0.001172429378068882
320 0.154715283310193 0.0470028950453477 -0.007560386673637096 -0.00163316979840391 0.0009827449727644122 0.0006426695826196751 0.1565323559788134 0.04318221584907946 0.0005514738721450014 0.1109047192796038 0.04212000629477446 0.001077160157473325
330 0.1545653002915117 0.04769578399684943 -0.007728719261091296 -0.001748096152956493 0.0009757146464195189 -0.0005062713426803162 0.1563732681170676 0.04404303420122611 -0.0003690920403252434 0.1109306034973744 0.04241668839678688 0.0009173116679456451
340 0.1540958369336817 0.04774630402078516 -0.007468282148043156 -0.001721003842365481 0.0008596358399053739 -0.001538249652605561 0.1558675747526122 0.04426464306520746 -0.001581325700554851 0.1108273532355881 0.04269286699675359 0.0006650236738423293
350 0.1536262658338991 0.04787121613680553 -0.006982811723712531 -0.001711352174700355 0.0008430864750120221 -0.001834777023893854 0.1553486975184579 0.0445654323683488 -0.002308675259790993 0.110577609383559 0.04299668338495108 0.000314737857616339
360 0.1533615013320592 0.04884181878420456 -0.006850724676449394 -0.001349997994890265 0.0007177511555468283 -0.0009058544349415602 0.1550416910409351 0.04562375643341732 -0.001802023560740459 0.1102516238729294 0.04335223231478809 -6.285850360100772e-05
370 0.1532516398329392 0.04950930873674424 -0.0068900672607 -0.0009728341404889987 0.0006260428518407859 5.680295728113726e-05 0.1549529551146117 0.04631125098949328 -0.001097636086043074 0.1099680495205106 0.04372177124512427 -0.0003750080436220466
380 0.1531777007383279 0.05008078366698628 -0.006828377031173251 -0.0007351298457670442 0.0006401973514540561 0.000452221639663549 0.1549054716307945 0.04689595644465817 -0.001073792897562895 0.10973104867976 0.04413226906121472 -0.0006004278068020842
390 0.1528342681686503 0.05000733246126215 -0.006741539673621419 -0.0008395197813127484 0.0007756868281324296 0.0007417353047007745 0.1545999034972539 0.04670326682267145 -0.001269328168216746 0.1094956525277637 0.04452611897571011 -0.0007884826632824944
400 0.1536311353850172 0.04960326985425446 -0.007089997148826598 -0.0009499852278911647 0.0009259907875721425 0.001239214963505387 0.1554562206821958 0.04621947689024183 -0.001230414311701395 0.1093286710465076 0.04486709728309366 -0.0009338702279477413
410 0.1549859631652541 0.0495742496822769 -0.007576016624857497 -0.0008235164219196219 0.000937779461826388 0.002005049074289133 0.1568251134906803 0.04615229895824714 -0.0006477805851791598 0.1092625970279912 0.04523652777840932 -0.001046739569218294
420 0.1554576864699928 0.04892704312333307 -0.007642216358748163 -0.0002919847531977157 0.0007472432052124067 0.00242788209469086 0.1573259140564829 0.04533799284922033 0.0004018618491974374 0.10927600875709 0.0455331113938106 -0.001098735932633958
430 0.1555536987637208 0.04784727688858022 -0.007384607959060705 0.0003441320633149213 0.0004901008484398096 0.002176667191420491 0.1574947200521115 0.04405238511113985 0.0009864708959654864 0.109383648983035 0.04562650950627508 -0.001037678132448379
440 0.1562415689891321 0.04754647228723486 -0.007170877667937005 0.0006104078641707127 0.0003683406844794315 0.002348478515652909 0.1582479154561214 0.04353025316265942 0.001686633917896835 0.109677489484141 0.04557561036672193 -0.0008010995262499915
450 0.1567627109051772 0.04772174568910446 -0.007223779479807512 0.0007162376773969625 0.000374267360052262 0.003141022192798495 0.158844007702334 0.04354789292951992 0.002643824967819963 0.1101966788158907 0.0454915246843819 -0.00036970343246592
460 0.1564647917328104 0.04811100815816226 -0.007142501954711417 0.0009167282044413066 0.0003520317101626791 0.004161086613390857 0.1586446603926673 0.04383161076117319 0.003522456720749805 0.1108204960216225 0.04534297415347693 0.0001513823316207761
470 0.1558503912698041 0.04823223347840822 -0.00673717651097272 0.001239060495798003 0.0002836828311795518 0.004474452963038548 0.1581137107686383 0.0439350278729965 0.003611339640493099 0.1114188463018037 0.04513791393312194 0.0006604592691610454
480 0.1551861761935874 0.0484472120462249 -0.006662816739196687 0.001568234640838542 0.000103120030517827 0.004128625485199673 0.1574656999472798 0.04419875947348247 0.003047809939601524 0.111912120287921 0.04487355641619598 0.001085710323893968
490 0.1550711203207814 0.04855081960412068 -0.007046553809335047 0.001610209246670484 6.590956876133842e-05 0.00445913287745623 0.157257702921952 0.04432557607822309 0.003338010755659478 0.1124137965272224 0.04461646565149869 0.001523107796724173
