Config5001,-2.6,-10.7,-8.7,-62.8,119.6,10.1,57,-28.7,31.7,3,21.5,-8.3,12.9,6.5,-39.7,0,0,16,12,8.7,-28.2,0,0
Config5002,10.6,15.6,-22.4,-38,58.4,15.1,67.9,-8.3,20.8,16.1,67.9,-5.4,16.9,-20.3,-22.6,0,0,31.7,37.7,-26.6,-34.8,0,0
Config5003,36.5,-4.6,3.8,5.8,41.6,27,16.4,2.2,81,28.6,25.8,-10.2,31.7,9.1,-45.6,0,0,9,41.4,-11.3,-5.6,0,0
Config5004,15.8,10.6,-0.5,-43.6,97.5,3.1,18.9,-58.6,64.9,6.4,25.2,30,22.6,22,-9.6,0,0,-3,23.5,-12.5,-42.5,0,0
Config5005,34.6,4.1,-16.8,-57.6,41.9,39.5,38.7,-45.2,94.9,28.2,20.4,5.9,9.3,22.1,-46,0,0,21.3,20.6,14.6,-19.2,0,0
Config5006,-0.7,6.2,-18.4,-40.5,53.8,22.9,66.6,-0.9,64.5,13.4,45.6,8.5,19.6,24.1,-35.4,0,0,24.2,43.5,17.9,-5.8,0,0
Config5007,33.3,14.3,24,-47.5,12.2,20.6,37.6,2.8,27.6,13.1,67.8,-16.1,15.2,-24.8,-24.7,0,0,-11.8,38.7,-21.7,-13.8,0,0
Config5008,12.5,20.4,-17.6,-46.3,121.8,-2.2,43.8,-27.7,72.2,51.7,44.8,-14.5,42.1,-18.9,-19.5,0,0,12.2,7.4,22.7,-14.6,0,0
Config5009,-13.8,2.7,-9.7,-31,119.8,37.2,49.4,-32.3,74.4,38.1,67.9,37.9,-4.6,26.2,-48.9,0,0,16.8,6.3,7.8,-26.8,0,0
Config5010,22.4,7.1,20.2,-35.3,93.2,20,35.6,-68.5,22.3,13.2,31.6,-2.6,26.6,-25.5,-40,0,0,-14.7,18.5,-34.4,-20.3,0,0
Config5011,3.5,4.5,18.8,-15.6,66.7,-3.6,67.1,-41,17,-13.9,29.9,16.3,42.2,-7.6,-26.1,0,0,20.1,20.4,-16.4,-40.8,0,0
Config5012,-10.2,-2.2,-25.6,-35,78.3,37.8,60.6,-52.9,65.2,-22.3,47.7,10.2,14.9,9.6,-0.2,0,0,4.9,9.1,33.2,-9.8,0,0
Config5013,38.3,-0.1,20.3,1.2,113.1,-23.2,20.8,-70.7,27.5,19.8,60.6,-14.9,31.4,-12.5,-39.2,0,0,-17.2,11.9,30.2,-6.4,0,0
